Name,Species,Gender,Personality,Hobby,Birthday,Catchphrase,Favorite Song,Style 1,Style 2,Color 1,Color 2,Wallpaper,Flooring,Furniture List,Filename,Unique Entry ID
Lucy,Pig,Female,Normal,Music,2-Jun,snoooink,K.K. Sonata,Cute,Elegant,Pink,Red,heavy-curtain wall,wooden-knot flooring,7348;7348;1875;7348;7348;3681;3958;794;7529;7529;7529;7529;1221;7527;7527,pig04,8FpMvE2W6YJtmTpiQ
Lyman,Koala,Male,Jock,Play,12-Oct,chips,K.K. Safari,Simple,Active,Light blue,Yellow,jungle wall,light parquet flooring,3623;3943;2605;4129;1913;3439;7353;2560;7454;4757,kal09,cnByupc7McZQg8sNJ
Mac,Dog,Male,Jock,Fitness,11-Nov,woo woof,My Place,Active,Cool,Red,Black,ivy wall,sandlot,1631;7142;1799;3348;7802;3229;1620;4113;4393;4042;1432;3697,dog14,bLyixhvrCHgBYzvoX
Maddie,Dog,Female,Peppy,Play,11-Jan,yippee,K.K. Stroll,Simple,Cute,Purple,Pink,meadow vista,wildflower meadow,4003;6033;7599;975;2614;3962;3064;1082;4042;3619;3960;7463,dog09,ebHEDLT4WnnnPtDzK
Maelle,Duck,Female,Snooty,Fashion,8-Apr,duckling,Café K.K.,Cool,Simple,Pink,White,tree-lined wall,sidewalk flooring,1626;1626;7236;1185;4412;1866;1627;3270;918;954;2014;8297;1092,duk03,bHTDLovALeQz9PK4z
Maggie,Pig,Female,Normal,Nature,3-Sep,schep,Drivin',Cute,Elegant,Green,Yellow,backyard-fence wall,flagstone flooring,8419;8419;8419;1626;1627;3943;4003;1625;1628,pig10,ByLM9r2q7mRAMbgXs
Mallary,Duck,Female,Snooty,Fashion,17-Nov,quackpth,K.K. Bossa,Cool,Gorgeous,Blue,White,mossy-garden wall,backyard lawn,1631;4113;4003;4100;3775;3509;1829;1628;1624;8419,duk06,jhXJGTWpk3ycr6kZC
Maple,Cub,Female,Normal,Education,15-Jun,honey,Forest Life,Simple,Cute,Beige,Green,green blossoming wall,wooden-knot flooring,3251;2605;1032;865;4117;7144;3949;3438;4003;9766;1125;4119;7466;7134;3586;1870;928;1501,cbr01,xgPhy4TnDmnzSkZ6o
Marcel,Dog,Male,Lazy,Play,31-Dec,non,Comrade K.K.,Simple,Cool,Green,Blue,modern shoji-screen wall,rush tatami,4393;3622;1849;3230;7047;10743;725;7323;7048;7323;717;10742;329,dog15,63FsmgrS7QPpFvL3N
Marcie,Kangaroo,Female,Normal,Nature,31-May,pouches,K.K. Aria,Cute,Elegant,Pink,Beige,pink quilt wall,pine-board flooring,7134;7336;3616;7531;2740;4109;88;2560;7132;4003;3305;9542;3996;9565,kgr10,mSJuJRK54zTu3BkHr
Margie,Elephant,Female,Normal,Education,28-Jan,tootie,K.K. Marathon,Elegant,Cute,Pink,Red,olive desert-tile wall,bamboo flooring,4051;3971;4052;4130;4047;4046;3974;4045;1792;4129;997;4033;4054;4338,elp04,rnFzZ3Z4gFAv6ouqG
Marina,Octopus,Female,Normal,Music,26-Jun,blurp,Soulful K.K.,Cute,Cute,Pink,Red,strawberry-chocolate wall,berry-chocolates flooring,1757;3624;4002;3998;2776;3995;4001;4000;4003,ocp01,BQCu2GxBFFTuigDAY
Marshal,Squirrel,Male,Smug,Music,29-Sep,sulky,K.K. Bossa,Elegant,Cool,Light blue,Blue,blue delicate-blooms wall,modern wood flooring,2554;1081;3681;9766;1161;3615;1845;8394;3271;3560;915;7337;4338;920;954;8297;1866;3194;918,squ17,ZZJJbE5zFrcDXfLEF
Mathilda,Kangaroo,Female,Snooty,Fitness,12-Nov,wee baby,K.K. Chorale,Cool,Gorgeous,White,Red,blue delicate-blooms wall,arabesque flooring,3615;3957;83;5543;3623;3952;915;3206;3958;3951;4069;794;7284,kgr01,GSsfXWFSF3FEdbcjA
Megan,Bear,Female,Normal,Nature,13-Mar,sundae,Forest Life,Cute,Simple,Yellow,Light blue,honeycomb wall,dark herringbone flooring,2605;3251;3406;1277;3962;3122;4080;3562;928;3683;3438;4030;8826;9766;3400,bea15,tgsKz4BX3wxFRFrFZ
Melba,Koala,Female,Normal,Education,12-Apr,toasty,K.K. Stroll,Cute,Cute,White,Green,blue blossoming wall,green-paint flooring,3683;4003;4132;3445;2605;7137;3436;3428;3438;2740;7134;1792;4111;7353;3785;4308,kal02,sLBs68aveqtjT8HZJ
Merengue,Rhino,Female,Normal,Nature,19-Mar,shortcake,K.K. Ballad,Cute,Simple,White,Red,pastel dotted wall,mint dot flooring,4109;1866;3998;998;4000;3697;3785;7134;1161;3467;4139;1043;4019;3416,rhn07,qxaecyD6f6aHuNZKK
Merry,Cat,Female,Peppy,Fashion,29-Jun,mweee,Neapolitan,Cute,Cute,Pink,Light blue,beaded-curtain wall,orange retro flooring,4132;1227;2554;2713;790;3616;3439;1913;4130,cat16,uhd4aEuBudwu9pM6E
Midge,Bird,Female,Normal,Education,12-Mar,tweedledee,K.K. Stroll,Cute,Simple,Pink,Pink,yellow quilt wall,cute white-tile flooring,3995;7134;3999;1757;3996;3624;3997;4001;4000;4003;3998,brd08,WSnecxx3DREYtZ3p3
Mint,Squirrel,Female,Snooty,Fashion,2-May,ahhhhhh,K.K. Soul,Gorgeous,Cute,Pink,Purple,blue subway-tile wall,mint dot flooring,4052;4053;7236;4049;4046;4015;4051;3683;4027;4030;4054;3467,squ09,TgwEuBB4kt96EXAvt
Mira,Rabbit,Female,Big Sister,Fitness,6-Jul,cottontail,Go K.K. Rider,Active,Cool,Red,Yellow,heavy-curtain wall,wooden-knot flooring,7529;7529;7529;531;1708;7524;533;533;530;533;531;4763;4763;7524;530;531;531;4763,rbt19,ycquvbgfbCzktuLvn
Miranda,Duck,Female,Snooty,Fashion,23-Apr,quackulous,K.K. Sonata,Elegant,Gorgeous,Blue,Purple,arched-window wall,brown iron-parquet flooring,1840;3957;3955;2554;987;3958;794;3974;4129;4106,duk12,9AE7bEWmthdc7kZ4m
Mitzi,Cat,Female,Normal,Education,25-Sep,mew,K.K. Love Song,Simple,Simple,Brown,Beige,blue painted-wood wall,light herringbone flooring,2560;3251;2605;2713;7134;3562;7133;7136;1288,cat01,4DpkbYXeoySwonvkS
Moe,Cat,Male,Lazy,Play,12-Jan,myawn,Two Days Ago,Active,Simple,Black,Gray,blue subway-tile wall,stripe flooring,3995;7134;1561;4003;3208;4759;4762;3623;1559;4761,cat08,EYRuj39J5cS5eYuPD
Molly,Duck,Female,Normal,Nature,7-Mar,quackidee,K.K. Ballad,Cute,Simple,Yellow,Pink,lattice wall,light herringbone flooring,3956;2605;2772;2554;1058;4125;3785;7134;2560;3467;7334;7465;4003;4132,duk16,4RLK74MDFhcXAQeuL
Monique,Cat,Female,Snooty,Fashion,30-Sep,pffffft,K.K. Cruisin',Gorgeous,Elegant,Purple,Pink,beige desert-tile wall,rosewood flooring,4054;4051;4015;7236;4045;4049;4052;4047;4053;1227;4030;4046;4050;929;4048,cat11,6rhSBCp2M4wcM9cRG
Monty,Monkey,Male,Cranky,Education,7-Dec,g'tang,To The Edge,Cool,Cool,Yellow,Gray,autumn wall,forest flooring,10743;7142;3808;3805;808;4708;805;3806,mnk04,AB2WWajw4nPsxsQ5h
Moose,Mouse,Male,Jock,Fitness,13-Sep,shorty,K.K. Rockabilly,Cool,Gorgeous,Purple,Red,concrete wall,blue camo flooring,791;863;3563;3559;3200;1087;937;7348;4141,mus14,bqireWGDZg56QP8JF
Mott,Lion,Male,Jock,Fitness,10-Jul,cagey,K.K. Fusion,Active,Elegant,Blue,Green,green molded-panel wall,pine-board flooring,4125;2560;4003;3584;7132;3701;3490;1241;3702;3438;4111,lon06,upZ67GQyTzKPGCLm8
Muffy,Sheep,Female,Big Sister,Music,14-Feb,nightshade,K.K. Sonata,Gorgeous,Elegant,Black,Purple,black botanical-tile wall,purple desert-tile flooring,1153;3449;7236;9642;1127;4027;1227;4048;7531;3957;3943;3560;7337;3442;1128,shp12,BMbfDZTTqMr8T4Jvt
Murphy,Cub,Male,Cranky,Education,29-Dec,malarkey,K.K. Safari,Simple,Cool,Blue,White,woodland wall,jungle flooring,5972;7142;343;4038;787;7393;4043;1432;4035,cbr07,Nw4ojqKpHxBQfEqqo
Nan,Goat,Female,Normal,Nature,24-Aug,kid,K.K. Étude,Simple,Elegant,Orange,Yellow,black botanical-tile wall,white iron-parquet flooring,1875;3681;998;2554;4046;4054;4338;4114;6503;4052;4051,goa01,oGFWxL6p7g9Hq5LWK
Nana,Monkey,Female,Normal,Education,23-Aug,po po,K.K. Ballad,Cute,Cute,Pink,White,pastel dotted wall,cork flooring,2605;3616;3949;3439;2560;7465;4003;7133;1836;1913;929,mnk01,z95tvdzwWsxjXbpqP
Naomi,Cow,Female,Snooty,Fashion,28-Feb,moolah,K.K. Milonga,Elegant,Gorgeous,Colorful,Purple,red art-deco wall,lobby flooring,794;3957;3951;3956;3959;3950;2554;3954;3955;3953,cow07,3EXPYiDinngndhDng
Nate,Bear,Male,Lazy,Play,16-Aug,yawwwn,Forest Life,Simple,Simple,White,Green,woodland wall,daisy meadow,1759;1157;5635;4038;4035;4043;4038;1266;3697;5972,bea05,h2nAg5RGkR7NEnSQq
Nibbles,Squirrel,Female,Peppy,Fashion,19-Jul,niblet,K.K. Disco,Cute,Active,Red,Yellow,pear wall,olive desert-tile flooring,2596;4132;1783;2554;1181;4546;3396;4308;3975;2586;7654;7137;4003,squ04,Moh8bkfxWaxEa97mG
Norma,Cow,Female,Normal,Nature,20-Sep,hoof hoo,Mountain Song,Cute,Simple,White,Light blue,meadow vista,daisy meadow,5970;3675;4043;7805;1157;4042;1082;1266;3618,cow06,fwgBojtt5KTvk3TL5
O'Hare,Rabbit,Male,Smug,Nature,24-Jul,amigo,K.K. Island,Active,Cool,Blue,Light blue,ocean-horizon wall,water flooring,7148;665;7259;3468;9584;3684;1708;8473;7358;7013;3064;7358,rbt15,WDB4w6DdNpdhCvEuj
Octavian,Octopus,Male,Cranky,Play,20-Sep,sucker,K.K. D&B,Cool,Simple,Black,White,starry-sky wall,lunar surface,1439;5676;1441;1447;1445;1443,ocp00,nLsc5geQY78JR7j4S
Olaf,Anteater,Male,Smug,Education,19-May,whiffa,K.K. Milonga,Elegant,Gorgeous,Red,Black,black-brick wall,simple red flooring,3957;3951;7190;1840;4030;3950;3954;863;2554,ant09,ar73BhCacgwhTNYnX
Olive,Cub,Female,Normal,Nature,12-Jul,sweet pea,Neapolitan,Simple,Simple,Brown,Yellow,white simple-cloth wall,mint dot flooring,2605;4125;3490;1783;7134;3584;8826;7329;3438;2560;3702;3701;7133;4111;870;3697;1411,cbr09,7ZynzrsbeH5fMqvLu
Olivia,Cat,Female,Snooty,Music,3-Feb,purrr,K.K. Sonata,Cool,Elegant,White,Black,purple-rose wall,simple blue flooring,3958;3951;3681;3954;4054;2554;1875;742;794,cat03,9TaBZpKSgb9nEWwtH
Opal,Elephant,Female,Snooty,Fashion,20-Jan,snoot,K.K. Cruisin',Elegant,Cool,Black,Orange,brown botanical-tile wall,olive desert-tile flooring,1840;3971;3973;3970;10742;3270;4050;4017;4030;3974;10244;3972;4338,elp00,FYopCfP6LEKMEAP7F
Ozzie,Koala,Male,Lazy,Play,7-May,ol' bear,Mr. K.K.,Simple,Cute,Yellow,Orange,white perforated-board wall,cork flooring,2012;1326;3943;833;3584;8417;908;1308;7336;1308;7336;1328;4003;7520;7528;7454;7520;1328;4071;1328;1328;1348;7454,kal05,jn3GZEfXoGm3ahwd3
Pancetti,Pig,Female,Snooty,Music,14-Nov,sooey,K.K. Cruisin',Cute,Gorgeous,Red,Yellow,white botanical-tile wall,yellow floral flooring,4109;1913;1913;1288;7236;4130;3439;3282;3467;3271;954;3993;3428;998;4019,pig16,bjvvbcuiiN9pYiZA9
Pango,Anteater,Female,Peppy,Fashion,9-Nov,snooooof,K.K. Oasis,Elegant,Cool,Orange,Purple,imperial wall,gold iron-parquet flooring,3973;3971;3974;3472;4054;4053;3972;794;1757,ant02,dz29mEXmHc8mM3q7R
Paolo,Elephant,Male,Lazy,Nature,5-May,pal,To The Edge,Simple,Elegant,Gray,Light blue,blue desert-tile wall,blue mosaic-tile flooring,3468;1840;4130;4017;4017;4030;7153;3683;4072;2776;7333;4046;4048,elp05,jH9AH2BeLRwtsFwHQ
Papi,Horse,Male,Lazy,Nature,10-Jan,haaay,Hypno K.K.,Simple,Simple,Orange,Light blue,colorful puzzle wall,jointed-mat flooring,4132;1557;5543;685;3208;1558;3205;1565;3206;83;1561,hrs12,miKjvBKFawhzBB8rW
Pashmina,Goat,Female,Big Sister,Music,26-Dec,kidders,K.K. Disco,Cool,Elegant,Red,Colorful,cute red wall,cute white-tile flooring,791;3998;4143;4139;3616;4109;4441;4139;1798;1850,goa08,hftL8Ep8ffr3PWTuE
Pate,Duck,Female,Peppy,Fashion,23-Feb,quackle,K.K. Soul,Simple,Cute,Yellow,White,blue subway-tile wall,hexagonal floral flooring,3775;4017;4052;4049;4054;7516;4051;4046;4047;4053;4080;4048;3563;4338,duk02,DHBvGmtvAKgcEQiLx
Patty,Cow,Female,Peppy,Fashion,10-May,how-now,K.K. Calypso,Simple,Cute,Orange,Red,backyard-fence wall,wildflower meadow,865;1620;7142;3396;1778;2586;1829,cow00,WwWCGiveKwyuntnBe
Paula,Bear,Female,Big Sister,Fitness,22-Mar,yodelay,K.K. Disco,Cute,Active,Orange,Green,starry wall,berry-chocolates flooring,3995;2554;3490;3438;4338;3436;2560;2605;7134;1783,bea10,mt4oJ6k5CJTCGJXAZ
Peaches,Horse,Female,Normal,Education,28-Nov,neighbor,Forest Life,Cute,Simple,Colorful,Light blue,cabin wall,dirt flooring,3675;5970;7142;4117;3251;4036;5973;4038;928;4003;4040;3818,hrs08,SRuoS7z66df8wdynd
Peanut,Squirrel,Female,Peppy,Fashion,8-Jun,slacker,Forest Life,Cute,Cute,Red,Colorful,cute red wall,cute white-tile flooring,3624;4001;3997;3252;4002;1792;1870;4000;4003;3995;1783;7322;3996,squ00,ZcdcgJXwiH4rJg2JK
Pecan,Squirrel,Female,Snooty,Fashion,10-Sep,chipmunk,K.K. Love Song,Elegant,Gorgeous,Purple,Beige,beige art-deco wall,simple white flooring,3957;3951;4106;3959;3955;790;3956;3950;3958;4029;7519;3949,squ03,qJmNiqamwRRxHc4fY
Peck,Bird,Male,Jock,Play,25-Jul,crunch,My Place,Simple,Active,Beige,Red,camo wall,blue-paint flooring,1241;3205;4129;4759;3623;4763;4756;5543;4753;3438;2731;3986,brd17,TC9QnMpcjfskBGzwB
Peewee,Gorilla,Male,Cranky,Fitness,11-Sep,li'l bitty baby,K.K. Rock,Active,Cool,Orange,Blue,steel-frame wall,concrete flooring,1452;1803;4141;4138;3251;8417;4078;1241;9766;4441;7528;928;7324;7800;787,gor01,HAeZAgW5pywjmCBeu
Peggy,Pig,Female,Peppy,Fashion,23-May,shweetie,K.K. Bossa,Cute,Active,Blue,Red,red intricate wall,birch flooring,3998;1288;4017;4030;2596;3999;3563;1227;4027;4048;1757;7531;3621;3968,pig11,YReGwLNQoegR9PhZx
Pekoe,Cub,Female,Normal,Nature,18-May,bud,Imperial K.K.,Elegant,Cute,Red,Beige,exquisite wall,bamboo flooring,3971;3971;3973;3972;6031;794;8415;3974;4033;3970,cbr14,QvWvWxjFtNLCnZES5
Penelope,Mouse,Female,Peppy,Fashion,5-Feb,oh bow,Bubblegum K.K.,Cute,Gorgeous,Pink,Red,cute red wall,red dot flooring,3995;3998;7134;3997;3996;4017;1757;4002;4001;3624;4000;4003,mus17,L9mYm8tvKg32G85cv
Phil,Ostrich,Male,Smug,Music,27-Nov,hurk,K.K. Moody,Elegant,Cool,Green,Red,red art-deco wall,simple red flooring,4080;3951;794;4052;2776;4049;4054;4033;3971;1227;4017;4030;7518;4048,ost07,rCHTjrbTz7pejGT8J
Phoebe,Ostrich,Female,Big Sister,Fitness,22-Apr,sparky,K.K. Flamenco,Gorgeous,Cool,Black,Red,magma-cavern wall,lava flooring,1430;7142;343;4081;4038;4003;4042;1870,ost10,HYJxoDdCoLS7uPdz9
Pierce,Eagle,Male,Jock,Fitness,8-Jan,hawkeye,K.K. Gumbo,Elegant,Active,Orange,Yellow,blue camo wall,simple blue flooring,4759;1241;4761;8417;4760;4758;7845;2560;4756;4754;4003,pbr02,aavqm5o5TcTxgrBs6
Pietro,Sheep,Male,Smug,Music,19-Apr,honk honk,K.K. Parade,Gorgeous,Simple,Colorful,Red,sky wall,cloud flooring,791;1112;1112;4379;4379;4412;6829;6829,shp13,fLBrHLToMTBrc5Was
Pinky,Bear,Female,Peppy,Fashion,9-Sep,wah,Imperial K.K.,Cute,Simple,Red,Pink,bamboo wall,floral rush-mat flooring,3973;3971;3658;329;3972;3974;1708;4033;3449;4094,bea01,CLQDMiLJYw9de8t7c
Piper,Bird,Female,Peppy,Play,18-Apr,chickadee,K.K. Synth,Elegant,Gorgeous,Black,White,cityscape wall,monochromatic tile flooring,4015;4053;3957;4046;3955;3428;3467;3951;8418;4338,brd05,B9nGDw29C3MeZeiob
Pippy,Rabbit,Female,Peppy,Fashion,14-Jun,li'l hare,Drivin',Cute,Simple,Green,Brown,mod wall,blue-paint flooring,2554;4015;3683;1913;7528;4003;3122;1792;3621;9546;3443;3252;1783;7338,rbt06,zRveogN878Fugd5ga
Plucky,Chicken,Female,Big Sister,Play,12-Oct,chicky-poo,K.K. Island,Cool,Simple,Light blue,Yellow,tropical vista,starry-sands flooring,1708;7868;7868;7868;7868;7868;4046;4279;7868;1621;1866;3617;7345;667;4279,chn10,8v54MppXDZwDS2viK
Pompom,Duck,Female,Peppy,Music,11-Feb,rah rah,K.K. Soul,Cute,Simple,Pink,Light blue,beaded-curtain wall,green retro flooring,2713;7134;2554;7132;7137;2560;4003;1783;3251;1845;9547;3949,duk05,D4EfZuiFQqxXAaxa5
Poncho,Cub,Male,Jock,Fitness,2-Jan,li'l bear,K.K. Blues,Simple,Simple,Orange,Yellow,blue simple-cloth wall,blue-paint flooring,4030;7521;7521;8298;1227;1783;4048;3683;1277;3438;4338;7521;4015;8298;7518;8298;929;4125;1929,cbr02,2yyqShsyFuek2xsPq
Poppy,Squirrel,Female,Normal,Education,5-Aug,nutty,Forest Life,Cute,Elegant,Green,Yellow,autumn wall,colored-leaves flooring,7142;4035;6081;880;4043;4042;5635;5975;1082;4038;4338;7788,squ15,NaP65qNMvxYTzTXrs
Portia,Dog,Female,Snooty,Fashion,25-Oct,ruffian,K.K. Disco,Elegant,Gorgeous,Purple,Black,blue desert-tile wall,rosewood flooring,1227;7235;4109;3955;4027;4030;3271;4019;3993;998;1050;928;3560;954;4338,dog05,XAP6AcqdXDufCkTAd
Prince,Frog,Male,Lazy,Play,21-Jul,burrup,Only Me,Simple,Active,Yellow,White,starry-sky wall,daisy meadow,5970;1429;4042;1082;4269;1434;1186;3064;4038;1432;383,flg12,3YQrrLRvCYt62wMLi
Puck,Penguin,Male,Lazy,Fitness,21-Feb,brrrrrrrrr,K.K. March,Active,Simple,Blue,Red,ice wall,ice flooring,1452;3498;7281;4078;4013;7653;787;4015;290;287;3505;7800,pgn06,qnejmf3Q7jvCoBvw7
Puddles,Frog,Female,Peppy,Fashion,13-Jan,splish,K.K. Disco,Cute,Gorgeous,Green,Pink,blue subway-tile wall,mint dot flooring,937;1852;4129;1853;3962;1852;863;3428;941;1087,flg06,TuEiYBT2nG3qNT2RX
Pudge,Cub,Male,Lazy,Play,11-Jun,golly,K.K. Stroll,Simple,Simple,Green,Blue,green playroom wall,colorful puzzle flooring,3205;1561;1557;86;85;3305;1558;3206;5543;3623;3208;83,cbr03,QGD2qdJ8oyu4SS7To
Punchy,Cat,Male,Lazy,Play,11-Apr,mrmpht,Forest Life,Simple,Simple,Blue,Light blue,blue simple-cloth wall,jointed-mat flooring,7134;2605;3995;7133;3251;4003;2713;2560;957;7136,cat06,Q8Qds8CMWMnXTGbqf
Purrl,Cat,Female,Snooty,Fashion,29-May,kitten,K.K. Chorale,Cool,Elegant,Gray,Blue,arched-window wall,dark herringbone flooring,3957;3954;3951;3956;2554;3958;3959;742;4338,cat07,ZgpbeQ6LW63qq2yok
Queenie,Ostrich,Female,Snooty,Fashion,13-Nov,chicken,K.K. Gumbo,Gorgeous,Elegant,Black,Gray,abstract wall,dark parquet flooring,4049;4109;4051;4054;3270;4052;4045;4046;4053;4338;3775,ost00,4vYPTrcRBimNwXmcC
Quillson,Duck,Male,Smug,Music,22-Dec,ridukulous,K.K. Groove,Elegant,Cool,Beige,Orange,dark wooden-mosaic wall,simple purple flooring,4129;4052;937;4130;7868;4053;4054;941;2250;793,duk17,tdfJ4MAeE2pKDxxNd
Raddle,Frog,Male,Lazy,Nature,6-Jun,aaach—,Mr. K.K.,Elegant,Simple,White,Gray,white simple-cloth wall,green rubber flooring,1326;4026;4030;7529;7528;787;7529;833;1317;2014;3968;2014;4016;3428;2012,flg15,Xi6NDcp6NptRB9WDz
Rasher,Pig,Male,Cranky,Music,7-Apr,swine,K.K. Rockabilly,Cool,Simple,Blue,Black,chain-link fence,parking flooring,144;4759;1708;2556;146;2553;2592;4113;1631;4687;1189;3819;1567,pig02,vhd6ReEt63uAnpYsq
Raymond,Cat,Male,Smug,Nature,1-Oct,crisp,K.K. Cruisin',Elegant,Cool,Black,Gray,office wall,monochromatic tile flooring,840;4116;1750;3590;1232;832;3560;839;3784;1744;1750;4101;4099;3783;1870;8464,cat23,2nbzgWsuDBSN2LeEj
Renée,Rhino,Female,Big Sister,Music,28-May,yo yo yo,Surfin' K.K.,Cool,Active,Purple,Yellow,skull wall,tiger-print flooring,4141;941;4143;4142;3621;4144;1241,rhn08,ZyeqzXyxABEFXsS5c
Reneigh,Horse,Female,Big Sister,Play,4-Jun,ayup yup,K.K. Synth,Cool,Gorgeous,Black,Purple,botanical-tile wall,brown floral flooring,4052;4051;4049;4047;4129;7531;4045;4054;1227;3586;4130;4048;4046;4050,hrs16,4rRW9HkPYfAWBQvWC
Rex,Lion,Male,Lazy,Nature,24-Jul,cool cat,Wandering,Simple,Cute,Blue,Light blue,summit wall,daisy meadow,7142;1430;1432;1143;4042;1082;1434;1433;4038;3697,lon02,umQmbALHn7dbiMrYL
Rhonda,Rhino,Female,Normal,Music,24-Jan,bigfoot,K.K. Ballad,Elegant,Gorgeous,Purple,Black,purple desert-tile wall,simple purple flooring,3983;4001;3999;1757;3998;3978;5150;3977;4030;4017,rhn01,BjYi6hQsSg6sQcxhm
Ribbot,Frog,Male,Jock,Fitness,13-Feb,zzrrbbitt,K.K. Technopop,Simple,Active,Blue,Light blue,circuit-board wall,future-tech flooring,9642;3559;1126;793;1126;3200;3560;1850;4071;4071;3563;7528;3590;8417;875,flg01,vg2BFTmhyyhbiHtbC
Ricky,Squirrel,Male,Cranky,Education,14-Sep,nutcase,K.K. Safari,Cool,Simple,Blue,Red,woodland wall,swamp flooring,7142;7393;4393;533;3675;533;7345;4038;1432;533;533;4042;3697;889,squ10,g5JArfBAeNAXb8rFX
Rizzo,Mouse,Male,Cranky,Education,17-Jan,squee,K.K. Folk,Simple,Cool,Black,Gray,mortar wall,dirt flooring,3580;10743;710;3692;6831;6831;3617;5978;5978,mus09,vmbvXTtjpswNLkcpi
Roald,Penguin,Male,Jock,Fitness,5-Jan,b-b-buddy,K.K. March,Active,Simple,Red,Yellow,iceberg wall,iceberg flooring,4003;3503;3501;3501;4042;3499;3497;4042;4279,pgn01,kxpZTdDuacHxQA3An
Robin,Bird,Female,Snooty,Fashion,4-Dec,la-di-da,K.K. Cruisin',Elegant,Cool,Light blue,Purple,brown botanical-tile wall,brown argyle-tile flooring,4080;4051;4046;4054;3971;4035;4048;4338;3948;1829;1829;331,brd01,xK49Rcb2Lnm5P4aLM
Rocco,Hippo,Male,Cranky,Education,18-Aug,hippie,K.K. Lament,Simple,Cool,Yellow,Black,construction-site wall,construction-site flooring,7229;9568;9619;9619;8575;2553;2553;1567;3943;1234;7262;3697;146;146,hip00,vfET6L7B9ruRApyMb
Rocket,Gorilla,Female,Big Sister,Fitness,14-Apr,vroom,K.K. Adventure,Active,Cool,Pink,Red,skyscraper wall,monochromatic tile flooring,7845;4013;7348;7348;7235;1241;1598;7133;7535;7528;4338;287;6519,gor09,eJNBB5SYzfj5DaWjx
Rod,Mouse,Male,Jock,Fitness,14-Aug,ace,K.K. March,Active,Cool,Blue,Light blue,sea view,ship deck,791;3468;863;3596;4102;7259,mus05,ezLuGMubv35hSamPr
Rodeo,Bull,Male,Lazy,Fitness,29-Oct,chaps,K.K. Technopop,Simple,Cool,Black,Red,concrete wall,monochromatic tile flooring,793;3957;3784;1186;3783;3590;3490;2560;4125;4105,bul01,QNT5F2pjZixKpiD4D
Rodney,Hamster,Male,Smug,Music,10-Nov,le ham,K.K. Rockabilly,Gorgeous,Cool,Pink,Colorful,blue diner wall,green vinyl flooring,863;937;791;1852;1853;1852;4441;1277;4144;7392;1087,ham03,AnFmctYx65LkTaFGu
Rolf,Tiger,Male,Cranky,Fitness,22-Aug,grrrolf,K.K. Condor,Cool,Active,Blue,Black,summit wall,flowing-river flooring,4393;7142;5970;1433;1434;3398;889;1432;5972;3697,tig00,MA2wxkE7cEyD4f4hz
Rooney,Kangaroo,Male,Cranky,Fitness,1-Dec,punches,K.K. Adventure,Active,Active,Gray,Black,gray shanty wall,steel flooring,1452;290;7152;4013;7653;3560;3960;3431;3560;1456;4003;7800,kgr09,9wnSweJyqfd4izW4M
Rory,Lion,Male,Jock,Music,7-Aug,capital,K.K. Faire,Simple,Active,Blue,Red,mangrove wall,starry-sands flooring,7795;7795;3348;9584;4102;3468;3980;5150;1234,lon07,hAfSborD4JtyNGFd6
Roscoe,Horse,Male,Cranky,Music,16-Jun,nay,K.K. D&B,Cool,Gorgeous,Black,Gray,black-crown wall,monochromatic tile flooring,4052;2554;1241;3559;1645;4046;4757;4054;4050;4338;3561;1744;4738;849;929,hrs04,RKAg95c8nosL8fNec
Rosie,Cat,Female,Peppy,Music,27-Feb,silly,Bubblegum K.K.,Cute,Cute,Pink,Red,purple dotted wall,blue-paint flooring,4002;1757;4000;3998;3995;4001;3997;3999;2605;3996;7137;3428;4003,cat02,NTwyXi4RAX4EKTcW6
Rowan,Tiger,Male,Jock,Fitness,26-Aug,mango,Surfin' K.K.,Active,Simple,Light blue,Gray,bamboo wall,tiger-print flooring,710;3974;716;3973;3558;3972;4338;689;3970,tig01,WqtXZv8CLheckbHoF
Ruby,Rabbit,Female,Peppy,Nature,25-Dec,li'l ears,Stale Cupcakes,Cute,Active,Light blue,Pink,starry-sky wall,lunar surface,1439;1439;1445;1445;5676;1054;1442,rbt09,rjbSmp6a8PdsEw9BM
Rudy,Cat,Male,Jock,Play,20-Dec,mush,K.K. Blues,Active,Simple,Yellow,Beige,green playroom wall,pine-board flooring,3205;4756;2605;4762;3122;2560;85;4123;7133;4758,cat20,TqXTvnySgEac3iEt7
Sally,Squirrel,Female,Normal,Music,19-Jun,nutmeg,Only Me,Simple,Elegant,White,Beige,yellow intricate wall,dark parquet flooring,2605;3251;1792;7134;7143;7352;7133;9766;7137;6079;928;6075;3618;3275;2560;3438;4338;3948;7352;6078,squ07,jtXMvWWbQ9qN2iw7S
Samson,Mouse,Male,Jock,Fitness,5-Jul,pipsqueak,Rockin' K.K.,Simple,Active,Red,Yellow,blue subway-tile wall,cool-paint flooring,4546;1263;1177;4756;2596;3975;85;4753;4762;3822,mus04,XFzdPqYwq4n98EpuF
Sandy,Ostrich,Female,Normal,Nature,21-Oct,speedy,K.K. Soul,Simple,Cool,Light blue,White,blackboard wall,rosewood flooring,2554;3775;3775;1277;7348;3615;1845;3194;1032;3681;1866;3271;1875;3586;1161;4338;1606;3467,ost02,6t3MfdfbyRKwjgNPd
