Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
log garden lounge,12,hardwood,,,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,335,113,PDwJZtp2PN93N3NfZ
log pack,3,wood,5,hardwood,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Bags,570,638,fGoNxEDmgeZRehXXj
log round table,15,hardwood,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,334,111,aveZx5Dz7zLGfBiS7
log stakes,3,wood,,,,,,,,,,,NFS,200,NA,Tom Nook; Smug villagers,,0,1.0.0,Housewares,341,412,Wwp2YdfmcWaY9LdHK
log stool,4,wood,,,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,330,116,KCkvMzSKZoAGpFFvX
log wall-mounted clock,2,hardwood,1,iron nugget,,,,,,,,,NFS,200,NA,Lazy villagers,,50,1.0.0,Wall-mounted,340,115,qAiYovJGN6oxwXWqY
lovely cosmos crown,3,pink cosmos,3,orange cosmos,,,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3607,250,ud57HYkDcb9fpS3jN
lucky gold cat,2,gold nugget,1,lucky cat,,,,,,,,,NFS,200,NA,Snooty villagers,,100,1.0.0,Miscellaneous,1107,578,bKrB5YcmewKR5AWot
lunar lander,10,star fragment,15,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2225,386,jsL7MwKFFov5eWgcg
lunar rover,10,star fragment,10,iron nugget,4,old tire,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2226,373,bu2WXQC6ajuQYYejk
lunar surface,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Floors,2261,478,AbKXzqwJaJDmWnB9o
magazine rack,2,magazine,4,wood,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Miscellaneous,2110,413,8xG78nXxXkRwPuhqX
manga-library wall,10,magazine,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Wallpaper,2112,316,8JLp8kSxRMRChTXaT
manhole cover,3,iron nugget,,,,,,,,,,,NFS,200,800,Nook Miles Exchange,,0,1.0.0,Housewares,917,277,6Zi8pyz29evu2n464
maple-leaf pochette,6,maple leaf,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Bags,2981,631,7uFqbJaQoW2doC3B3
maple-leaf pond stone,10,stone,3,maple leaf,,,,,,,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Housewares,821,512,eJQMX98oYAmryvgps
maple-leaf umbrella,7,maple leaf,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Umbrellas,2980,541,MWAN27apJPewSFHiR
matryoshka,5,softwood,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Miscellaneous,461,403,ogWXGmNDThxbXqgMG
medicine,1,wasp nest,3,clump of weeds,,,,,,,,,NFS,200,NA,All Villagers (while stung),,0,1.0.0,Other,130,567,WLudgvjM44qWLprre
medium cardboard boxes,4,cardboard box,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,2135,610,Q9uBnt9n4okWbCgvg
mini DIY workbench,3,wood,3,hardwood,3,softwood,2,iron nugget,,,,,NFS,200,NA,Test Your DIY Skills,Purchase Test Your DIY Skills from Nook's Cranny.,0,1.0.0,Housewares,301,82,sLGJoXrKyqJ4bdhxb
modeling clay,2,clay,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Miscellaneous,700,574,Z7ycbJwgAh8HWaaSm
modern wood wall,5,wood,5,softwood,5,hardwood,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Wallpaper,520,320,LqPaTaPEXdwvFhGKC
money flooring,50000,bells,,,,,,,,,,,NFS,200,NA,Snooty villagers,,100,1.0.0,Floors,2190,473,6HtNgH3LKjQA5kxtg
moon,15,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2202,234,5GevvAMTu6Lf7ueyE
mossy garden rock,15,stone,15,clump of weeds,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,807,647,Fn45YxZCtsHx5u3t2
mountain standee,4,wood,5,softwood,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,380,584,zAFMi693PuR7nPnMs
mum crown,2,red mums,2,yellow mums,2,white mums,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3603,258,dm3bTGBfDYLSzWDHR
mum cushion,3,yellow mums,10,clump of weeds,,,,,,,,,NFS,200,NA,Peppy villagers,,50,1.0.0,Housewares,3501,505,fEBdSdvEG86vXefum
mum wreath,3,white mums,3,yellow mums,3,red mums,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3543,231,LS93qbKCcMQLExqMG
mums wand,1,yellow mums,,,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,3671,531,jbWRPr9kP6jXS3SLW
mush lamp,1,skinny mushroom,5,clay,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3006,51,vTR3yJt55jtNGdprm
mush log,2,skinny mushroom,1,log stool,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3001,136,FMN3xak2uqjTCo47s
mush low stool,2,round mushroom,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3000,220,RZwmANPWaM7jntL5R
mush parasol,3,flat mushroom,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3007,139,WwaYiBvDKvBJzD3Bg
mush partition,3,skinny mushroom,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3008,138,J89MsT5JKW43XJ4r8
mush table,2,flat mushroom,6,wood,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Housewares,3003,32,cECL9PSx9yNfPWNvW
mush umbrella,3,flat mushroom,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Umbrellas,3080,648,PT3wRG87hdFbt8kgG
mush wall,1,elegant mushroom,1,round mushroom,1,skinny mushroom,1,flat mushroom,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Wallpaper,3051,308,6HKBjFrzRdfY5PArn
mushroom wand,3,skinny mushroom,3,star fragment,,,,,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Tools,3090,536,N9He3qRD3RjrqQeGG
mushroom wreath,10,tree branch,1,round mushroom,1,skinny mushroom,1,flat mushroom,,,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Wall-mounted,3040,221,5XfaKLorByDHGp9pi
music stand,8,hardwood,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,405,215,ZxTX2kZjDvZA3aT95
natural garden chair,6,hardwood,2,iron nugget,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,373,80,jaDD9msGTLXHRu2cB
natural garden table,9,hardwood,3,iron nugget,,,,,,,,,NFS,200,NA,Tom Nook; Normal villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,375,224,gRf7qMpExewtthEWH
natural mum wreath,10,green mums,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3545,442,p7kG7qim9jPGSwxtz
natural square table,4,hardwood,2,iron nugget,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Housewares,374,670,4nASdZyjax8qv3B8T
net,1,flimsy net,1,iron nugget,,,,,,,,,NFS,200,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,0,1.0.0,Tools,108,283,FZBFrFQRtepzzWPFp
nova light,5,star fragment,,,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Miscellaneous,2200,429,5RHPeNZ2mgin65Ny5
ocarina,5,clay,,,,,,,,,,,NFS,200,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny.,0,1.0.0,Tools,133,218,QzhL3j8Tgv2cNDZQe
oil-barrel bathtub,1,oil barrel,1,campfire,2,stone,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Housewares,2150,394,kvTajEX5oeZ2DDyjt
old-fashioned washtub,3,softwood,,,,,,,,,,,NFS,200,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,0,1.0.0,Miscellaneous,464,195,ebzFXSHFr3vGLoDSb
orange dress,8,orange,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Dresses,1382,626,kdDWtuakgMkxF8ohK
orange end table,10,orange,4,wood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Housewares,1300,185,XsnyjhPAFhghBQj7r
orange hat,5,orange,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Headwear,1381,624,yqpHcrzwzywbANi6S
orange rug,6,orange,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Rugs,1370,544,ACfErxWo9j2zKTe47
orange umbrella,7,orange,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Umbrellas,1380,625,ZFxY5TXjBeThpDkjy
orange wall,20,orange,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Wallpaper,1350,303,8rnfwGyLMaw5FTMQb
orange wall-mounted clock,10,orange,2,wood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Wall-mounted,1330,184,rJaAL5N8CQQ5dPd9y
ornament mobile,1,red ornament,1,blue ornament,1,gold ornament,4,tree branch,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Wall-mounted,3430,433,RaotMSgnPsgG6PKLu
ornament wreath,6,blue ornament,2,gold ornament,,,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Wall-mounted,3440,226,rLcgugWkG2sntC7Lh
outdoor bath,20,stone,1,shovel,,,,,,,,,NFS,200,3000,Nook Miles Exchange,,0,1.0.0,Housewares,812,410,9odpMYcPqYJvqQ9qs
outdoor picnic set,10,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,Balloons; Isabelle,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,2603,422,uG5LkajvrX63DoMwC
palm-tree lamp,4,coconut,4,wood,4,clay,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,1801,575,FcvtqX5qPrfTkDm7Z
pan flute,7,young spring bamboo,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Tools,134,398,oEeGqoaMP9XdQE3NF
pansy crown,2,red pansies,2,yellow pansies,2,white pansies,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3617,246,X8taQdT4nzX6wvY3S
pansy table,5,yellow pansies,3,hardwood,,,,,,,,,NFS,200,NA,Normal villagers,,50,1.0.0,Housewares,3505,516,7iYZ6YuJGjETcGF8A
pansy wand,1,yellow pansies,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,3675,527,5NPaTGzE9ZCAryFmE
pansy wreath,3,yellow pansies,3,white pansies,3,red pansies,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3557,230,qPZnLEKoAZbQxXQiG
paw-print doorplate,3,wood,,,,,,,,,,,NFS,200,NA,Peppy villagers,,50,1.0.0,Wall-mounted,501,466,S3f74cedig2pCxFHu
peach chair,10,peach,5,wood,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Housewares,1500,187,nCJGnLxvqbshrxxxD
peach dress,8,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Dresses,1582,618,zmPZEvBG6yYGmeFBx
peach hat,5,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Headwear,1581,619,iSQTJwDAeiFowjbt5
peach rug,6,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Rugs,1570,545,qYQTQktpoWBckW63d
peach surprise box,10,peach,4,softwood,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Miscellaneous,1501,188,47GdZP9FTse2XqXCv
peach umbrella,7,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Umbrellas,1580,620,bpoAgczMK3d6dmtte
peach wall,20,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Wallpaper,1550,306,EtpBMH46crTvLrLrn
pear bed,10,pear,6,softwood,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Housewares,1601,186,cGN8QeEJjgtfZJnqv
pear dress,8,pear,,,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Dresses,1682,615,Gc8pnkWgCZcMbeJnk
pear hat,5,pear,,,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Headwear,1681,616,u6hqbCNXEpdwk5TyW
pear rug,6,pear,,,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Rugs,1670,546,eEcepcMqPiijQzjta
pear umbrella,7,pear,,,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Umbrellas,1680,617,Z4yN2HWQNGM9HYBZo
pear wall,20,pear,,,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Wallpaper,1650,305,es6hFYQ5DneXyj8od
pear wardrobe,10,pear,5,wood,,,,,,,,,NFS,200,NA,Jock villagers,,100,1.0.0,Housewares,1600,9,ruECmxoLmFHpjeKau
pile of leaves,3,pine cone,5,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Fall,0,1.0.0,Housewares,2902,586,4DfamX3gvgQKPaGYi
pile of zen cushions,3,zen cushion,,,,,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Housewares,2140,521,2CGSv5apJjzb9AZS5
pine bonsai tree,8,pine cone,5,clay,,,,,,,,,NFS,200,NA,Balloons,Only available during Fall,0,1.0.0,Miscellaneous,2910,592,ifZ8RQ4kxXgJawABR
Pisces lamp,3,star fragment,2,Pisces fragment,2,gold nugget,4,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2311,399,WkqrKtCEaK8GTwQ6L
pitfall seed,4,clump of weeds,6,tree branch,,,,,,,,,NFS,200,NA,Jock villagers,Also obtained from digging up an existing pitfall,100,1.0.0,Other,135,264,QB33ur4L2mq5CvL4X
plain sink,6,wood,4,clay,1,iron nugget,,,,,,,NFS,200,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,0,1.0.0,Housewares,371,174,2ep7S8GmDoqMHTzTo
plain wooden shop sign,6,wood,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,372,166,q5Gq6yTqh25mfP83A
pond stone,10,stone,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,819,513,LqSfpSHJgQyAJDHkJ
pot,5,clay,,,,,,,,,,,NFS,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Miscellaneous,703,37,4kNto6azXBJEzDZvA
potted ivy,5,clump of weeds,5,clay,,,,,,,,,NFS,200,NA,Test Your DIY Skills,Purchase Test Your DIY Skills from Nook's Cranny.,0,1.0.0,Wall-mounted,1231,214,PRZpskqoyoPoT6g3c
pretty cosmos wreath,3,orange cosmos,3,pink cosmos,3,red cosmos,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3547,445,sSXrhgXnaQfP53KFk
pretty tulip wreath,3,orange tulips,3,pink tulips,3,purple tulips,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3550,361,z4k9YXZrLp9x6TXXF
purple hyacinth crown,6,purple hyacinths,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3622,239,aHwaJQnuBTPrrjRtM
purple hyacinth wreath,10,purple hyacinths,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3562,452,QXWyxbAncQeicP3xY
purple pansy crown,6,purple pansies,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3619,248,NJ8nZjXNYWmYkzzGA
purple windflower crown,6,purple windflowers,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3602,242,kz9eW99mbZKy5QZSA
raccoon figurine,6,clay,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,705,520,c3iADXgcRcQv3cTF3
recycled boots,2,boot,,,,,,,,,,,NFS,200,NA,Fishing up a boot,,0,1.0.0,Shoes,690,664,yqYz3fPAdv4nDcv9X
recycled-can thumb piano,1,empty can,1,wood,1,iron nugget,,,,,,,NFS,200,NA,Fishing up an empty can,,0,1.0.0,Miscellaneous,600,504,Wg8fZ2B2HqkvzvHDP
red-leaf pile,3,maple leaf,4,clump of weeds,,,,,,,,,NFS,200,NA,Balloons; Isabelle,Only available during Maple Leaf Season,0,1.0.0,Housewares,2901,589,mLrdRGTNsXKuekHhN
ringtoss,2,wood,2,softwood,,,,,,,,,NFS,200,NA,Test Your DIY Skills,Purchase Test Your DIY Skills from Nook's Cranny.,0,1.0.0,Miscellaneous,460,43,oADtSa2zmTwZ9NMQz
robot hero,1,rocket,1,gold armor,30,rusted part,90,iron nugget,10,gold nugget,,,NFS,200,5000,Nook Miles Exchange,,0,1.0.0,Housewares,2228,594,4AjeuiarF5T2AAKSG
rocket,10,star fragment,20,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2221,409,xMbimsjjXPKdPSXxF
rocking chair,3,wood,5,softwood,,,,,,,,,NFS,200,NA,Test Your DIY Skills,Purchase Test Your DIY Skills from Nook's Cranny.,0,1.0.0,Housewares,376,57,8iX4opSXHjcJBorzj
rocking horse,5,softwood,,,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Housewares,403,102,mYp7N7KfrH4GprNif
rope fence,4,iron nugget,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,990,549,376NtDBZyAE9mDtSo
rose bed,10,red roses,5,wood,,,,,,,,,NFS,200,NA,Smug villagers,,50,1.0.0,Housewares,3504,507,7JwEWxhn5RhmvkgpS
rose crown,2,red roses,2,yellow roses,2,white roses,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3612,252,nn5Ax694CmD7dzkDZ
rose wand,1,red roses,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,3674,529,hH9qJNGJpxbY2TYTt
rose wreath,3,red roses,3,white roses,3,yellow roses,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3552,229,Swx6c6NHk94Htn86t
rustic-stone wall,5,stone,5,clay,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Wallpaper,851,324,MmjudYWMYWwucKrMG
Sagittarius arrow,3,star fragment,2,Sagittarius fragment,2,gold nugget,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Wall-mounted,2308,376,E3TJjo97BMNgHWPAH
sakura-wood flooring,5,cherry-blossom petal,10,wood,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Floors,2661,649,fPZCc3qyHmip4YE4o
sakura-wood wall,5,cherry-blossom petal,10,wood,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Wallpaper,2651,321,qweZmh7LNTLp9FDiY
sandy-beach flooring,1,sea snail,1,venus comb,1,sand dollar,1,coral,1,giant clam,1,cowrie,NFS,200,NA,Jock villagers,,0,1.0.0,Floors,2760,669,39nh7pMHJthnDFjYE
satellite,10,star fragment,15,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2222,379,LZgRMaLeBJvSmGPGu
sauna heater,6,stone,3,iron nugget,3,wood,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,810,374,LmA3DipMGKZb35bBf
scarecrow,3,tree branch,5,clump of weeds,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,204,655,MWhpvNPWowwPKTPb3
scattered papers,1,document stack,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Housewares,2121,463,inzHEDTLeK6KZoiqa
sci-fi flooring,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Floors,2262,477,HYS6oTgQ85xyP8cuv
sci-fi wall,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Wallpaper,2252,292,e4h5PiReE4wkz2mvY
Scorpio lamp,3,star fragment,2,Scorpius fragment,2,gold nugget,5,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Miscellaneous,2307,380,nJbz3cz3Adu75WTG4
shell arch,3,sea snail,3,venus comb,3,sand dollar,3,coral,3,giant clam,3,cowrie,NFS,200,NA,Lazy villagers,,100,1.0.0,Housewares,2705,175,o6M2coQ6bLoDQsWBm
shell bed,5,giant clam,3,clay,4,stone,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,2703,181,PQaCd4ohLujJeKoLQ
shell fountain,5,giant clam,3,stone,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,2701,180,FQcXcbtASXK7kdQ9Q
shell lamp,2,giant clam,3,clay,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Miscellaneous,2706,182,27oeQoY4DhhmPaEWS
shell partition,4,venus comb,4,conch,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,2704,176,JnmHHHWXPk99xRkwD
shell rug,3,giant clam,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Rugs,2770,668,pJJzEZ9zTJQvgRdLu
shell speaker,3,conch,2,iron nugget,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Miscellaneous,2707,200,WdK7LJ8fbgXe9kfBv
shell stool,5,cowrie,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,2700,177,f4wdMHhuARgmQfdnB
shell table,7,sand dollar,3,clay,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,2702,178,RXY6M4BmsWFJNqHAt
shell wand,3,summer shell,3,star fragment,,,,,,,,,NFS,200,NA,Balloons,Only available during Summer,0,1.0.0,Tools,2890,534,ZTaYhxtmS2F575QLd
shell wreath,1,summer shell,1,sea snail,1,sand dollar,1,coral,1,giant clam,1,cowrie,NFS,200,NA,Balloons,Only available during Summer,0,1.0.0,Wall-mounted,2840,219,k7dondWtbpmYBYHaX
shellfish pochette,2,giant clam,6,summer shell,,,,,,,,,NFS,200,NA,Balloons,Only available during Summer,0,1.0.0,Bags,2880,634,yArwqRFy5soMedxMk
shovel,1,flimsy shovel,1,iron nugget,,,,,,,,,NFS,200,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,0,1.0.0,Tools,104,281,M3RrgtikixGSNWq24
signpost,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Housewares,439,213,Z6H8xP4vNMznirGDX
silo,12,iron nugget,6,hardwood,12,clay,12,stone,,,,,NFS,200,3000,Nook Miles Exchange,,0,1.0.0,Housewares,708,598,6czwDvwNcJ6aLqsPm
simple DIY workbench,5,hardwood,1,iron nugget,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,300,494,BBHuZzdLe6H7GEw2R
simple mum crown,6,green mums,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3605,260,Pib8R6Z4czejLxJK3
simple well,15,stone,1,flimsy shovel,,,,,,,,,NFS,200,2000,Nook Miles Exchange,,0,1.0.0,Housewares,811,36,bFSWqMEdNJZBRALME
simple wooden fence,6,softwood,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,588,656,ZGyfJBiFPk58dPFfn
ski-slope flooring,8,snowflake,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Winter,0,1.0.0,Floors,3360,483,obRJkb8TbaWbaBxAt
ski-slope wall,8,snowflake,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Winter,0,1.0.0,Wallpaper,3350,295,GpPrFGQc3wjpPYh2C
sky-egg outfit,3,sky egg,,,,,,,,,,,NFS,200,NA,Collecting sky eggs,Only available during Bunny Day,0,1.1.0a,Dresses,3773,686,weRPdpf2rNKk5M6To
sky-egg shell,2,sky egg,,,,,,,,,,,NFS,200,NA,Collecting sky eggs,Only available during Bunny Day,0,1.1.0a,Headwear,3772,685,dvaSzuxBdqGoQsQtn
sky-egg shoes,2,sky egg,,,,,,,,,,,NFS,200,NA,Collecting sky eggs,Only available during Bunny Day,0,1.1.0a,Shoes,3774,687,EHXPk3QeW6EZy7pF9
sleigh,8,wood,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,442,580,vQCpvpCFNYENPhuKK
slingshot,5,hardwood,,,,,,,,,,,300,200,NA,Nook's Cranny,,0,1.0.0,Tools,111,29,Bbew7NAtvtH9wLJrD
small cardboard boxes,2,cardboard box,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,2134,609,5dYMgBRhSgGpHNRcW
snazzy pansy wreath,3,orange pansies,3,blue pansies,3,yellow pansies,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3558,451,vyxRpZbkGm3iZo9FG
snowflake pochette,6,snowflake,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Winter,0,1.0.0,Bags,3380,633,8b7zapAg4LJDda6Tk
snowflake wall,12,snowflake,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Winter,0,1.0.0,Wallpaper,3352,323,m8fufjb9uRvsqguGC
snowflake wreath,4,snowflake,,,,,,,,,,,NFS,200,NA,Balloons; Isabelle,Only available during Winter,0,1.0.0,Wall-mounted,3340,222,syeDkgGnge76zBJ5y
snowperson head,1,large snowflake,5,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Headwear,3280,637,6TuttvHpXz8cBQAqa
space shuttle,5,star fragment,10,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2223,381,rh4nYL67r9Cy33pxj
spiky fence,8,hardwood,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,584,553,KwQDAafZxyPRLtYFn
stack of books,5,book,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Miscellaneous,2100,196,wRs5mmgErDd3guzAD
stacked magazines,6,magazine,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Miscellaneous,2111,197,3gMLM9p6vJS37zTZe
stacked-wood wall,15,hardwood,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Wallpaper,528,314,NNmn5yJHFnwDWkcRN
stall,12,wood,,,,,,,,,,,NFS,200,2000,Nook Miles Exchange,,0,1.0.0,Housewares,438,596,Et4TyaGdqojFhBPej
