Name,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Version,Filename,Internal ID,Unique Entry ID
wedding-party wall,No,NA,No,1750,437.5,None,None,NA,Wedding Season,,Not for sale,None,NA,NA,None,NA,Stone,party,expensive,wedding,Cloth Walls,1.2.0,RoomTexWallJuneBride00,12461,xT6kyFtbGPpR8nRM3
western vista,Yes,Synchro,No,3000,750,Brown,Beige,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,folk art,horror,None,Special Cool Nature Walls,1.0.0,RoomSpWallWilderness00,5489,tYFKmm4XzGGGQAcfG
white botanical-tile wall,No,NA,No,1240,310,White,White,NA,Nook's Cranny,,For sale,Single Pane,White Wood,Glass,Slatted Blinds,White Plastic,Wood,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile00,4826,QyrvwKiKMmNvm7KxR
white delicate-blooms wall,No,NA,No,1900,475,White,White,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor00,4891,ZDpt8b6TTGr2hihP5
white hallway wall,No,NA,No,2000,500,White,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall02,6861,HZoM3iHpKrQPBK2Gh
white honeycomb-tile wall,No,NA,No,1680,420,White,White,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb03,4914,K8mdzBZZeBLxZEAzZ
white painted-wood wall,No,NA,No,1650,412,White,White,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Tile,living room,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood03,4803,cN4bnHaw4mruhnMZk
white perforated-board wall,No,NA,No,1180,295,White,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard00,4920,krohWS7x49N2hCKrF
white simple-cloth wall,No,NA,No,750,187,White,White,NA,Nook's Cranny,,For sale,Four Pane,Light Wood,Glass,Curtains,White,Stone,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple00,4939,z2Zh2fzFwCbvMDm8J
white subway-tile wall,No,NA,No,1340,335,White,White,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,facility,shop,None,Metro Walls,1.0.0,RoomTexWallMetro01,4941,ajXm5zy9pwf7XEyHF
white wedding wall,No,NA,No,3000,750,None,None,NA,Wedding Season,,Not for sale,None,NA,NA,None,NA,Stone,party,expensive,wedding,Cloth Walls,1.2.0,RoomSpWallChurch00,12466,mKuptCLkH2MknX2PN
white-brick wall,No,NA,No,1000,250,White,White,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Tile,facility,shop,None,Brick,1.0.0,RoomTexWallBrick00,4927,htjwxjceb2hc6GxjX
white-chocolate wall,No,NA,No,3000,750,White,Beige,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate01,4933,6qMhFdc2nDSvJSCfT
white-rose wall,No,NA,No,1720,430,Pink,White,NA,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose02,6868,yksDvcnnKqM7tnzas
wild-wood wall,No,NA,Yes,NFS,1800,Black,Black,NA,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Wood,living room,shop,None,Wood Walls,1.0.0,RoomTexWallWildWood00,4858,vhJr7B96SnG3xQQCs
wooden-knot wall,No,NA,Yes,NFS,1800,Brown,Brown,NA,Crafting,,Not for sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Stone,living room,child's room,None,Wood Walls,1.0.0,RoomTexWallCedar00,4911,puQYs9hygxfcQWsjt
wooden-mosaic wall,No,NA,Yes,NFS,1800,Brown,Brown,NA,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,living room,shop,None,Wood Plank Walls,1.0.0,RoomTexWallMixPlankWood00,4859,RgzoarteJyzD4xSAm
woodland wall,No,NA,Yes,NFS,1380,Green,Green,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,horror,facility,None,Nature Walls,1.0.0,RoomTexWallJukai00,5223,2B4YTYqnm64vgANY4
yellow flower-print wall,No,NA,No,1780,445,Yellow,Yellow,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Yellow,Cloth,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower02,6872,esknqzcAenk8uqzYk
yellow heart-pattern wall,No,NA,No,1280,320,Yellow,Yellow,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart02,6871,BqWMEqc2tL8CnPAmd
yellow intricate wall,No,NA,No,1570,392,Yellow,White,NA,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop01,4849,FrZas8MjMdjDTPvkX
yellow playroom wall,No,NA,No,2540,635,Yellow,Yellow,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy03,6865,mraytANoYBQvA8qAk
yellow quilt wall,No,NA,No,2150,537,Yellow,White,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse02,7276,ysEdh2vpCpg5qBcNg
yellow simple-cloth wall,No,NA,No,750,187,Beige,Yellow,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Stone,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple01,4867,7sSXFNqcYgPMcGY8k
yellow-paint wall,No,NA,No,1600,400,Yellow,Yellow,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Cloth,fancy,child's room,None,Stucco Walls,1.0.0,RoomTexWallStucco00,4808,TySAA4kKqyvGGeZ5C
yellow-striped wall,No,NA,No,1520,380,Yellow,Beige,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe04,4946,N6sef3YhY973LDgdR
